rsrc_id	no_change_start	no_change_finish	moved_out_start	moved_out_finish	moved_into_start	moved_into_finish
A1	21.0	22.0	0.0	1.0	8.0	11.0
CH	8.0	9.0	3.0	10.0	0.0	0.0
DE01	1.0	0.0	1.0	1.0	0.0	0.0
DE02	5.0	4.0	0.0	0.0	3.0	4.0
DE03	1.0	1.0	0.0	1.0	0.0	0.0
DE06	2.0	0.0	1.0	2.0	0.0	0.0
DE09	0.0	0.0	3.0	2.0	0.0	0.0
DE10	0.0	0.0	0.0	0.0	1.0	0.0
DE13	0.0	1.0	0.0	0.0	0.0	0.0
DE14	2.0	1.0	0.0	0.0	0.0	0.0
DE15	1.0	1.0	0.0	0.0	0.0	0.0
DE16	1.0	1.0	0.0	0.0	0.0	0.0
DE55	3.0	5.0	0.0	0.0	0.0	0.0
DE59	2.0	1.0	0.0	0.0	0.0	0.0
DE99	2.0	4.0	0.0	0.0	0.0	0.0
DEITAAC	2.0	0.0	0.0	0.0	1.0	3.0
DM03	1.0	0.0	0.0	0.0	0.0	1.0
DM05	3.0	3.0	4.0	2.0	0.0	0.0
DM06	0.0	0.0	2.0	2.0	0.0	0.0
DM10	0.0	0.0	1.0	0.0	0.0	0.0
DM15	2.0	1.0	5.0	4.0	0.0	0.0
DM16	5.0	6.0	16.0	25.0	0.0	0.0
DM18	0.0	0.0	3.0	1.0	0.0	0.0
DM20	0.0	0.0	0.0	1.0	0.0	0.0
DM21	6.0	5.0	0.0	0.0	0.0	0.0
E46	7.0	8.0	0.0	0.0	0.0	1.0
E56	7.0	4.0	0.0	7.0	0.0	0.0
E61	0.0	0.0	1.0	1.0	0.0	0.0
E65	5.0	3.0	2.0	1.0	1.0	0.0
E66	1.0	1.0	1.0	0.0	0.0	0.0
E67	8.0	9.0	4.0	2.0	0.0	1.0
EC	0.0	0.0	2.0	2.0	0.0	0.0
EP2	3.0	4.0	11.0	9.0	2.0	0.0
ERU2	0.0	0.0	6.0	4.0	0.0	0.0
HP	19.0	14.0	0.0	0.0	19.0	15.0
IST	0.0	4.0	1.0	1.0	0.0	0.0
J1	12.0	14.0	6.0	15.0	0.0	0.0
MEC	0.0	5.0	0.0	0.0	0.0	0.0
MEP	12.0	9.0	0.0	0.0	0.0	0.0
MER	2.0	0.0	0.0	0.0	0.0	0.0
MIP	27.0	29.0	0.0	0.0	0.0	0.0
MIR	9.0	2.0	0.0	1.0	0.0	0.0
MMC	2.0	3.0	0.0	0.0	1.0	0.0
MMP	23.0	25.0	0.0	0.0	1.0	0.0
MMR	22.0	18.0	0.0	0.0	2.0	1.0
N1	68.0	27.0	8.0	8.0	1.0	2.0
NL01	0.0	0.0	1.0	0.0	0.0	0.0
NL02	0.0	0.0	1.0	1.0	0.0	0.0
NL03	0.0	0.0	1.0	1.0	0.0	0.0
NL04	0.0	1.0	1.0	1.0	0.0	0.0
NL05	1.0	0.0	1.0	1.0	0.0	0.0
NL06	1.0	0.0	1.0	1.0	0.0	0.0
NL07	0.0	0.0	1.0	1.0	0.0	0.0
O1	0.0	0.0	4.0	1.0	0.0	0.0
O2	0.0	0.0	28.0	0.0	0.0	0.0
OP	3.0	4.0	103.0	80.0	0.0	0.0
P1	0.0	2.0	3.0	2.0	0.0	0.0
P3	3.0	3.0	0.0	0.0	0.0	0.0
PROGQUAL	0.0	0.0	1.0	1.0	0.0	0.0
PSE-34	3.0	3.0	3.0	2.0	0.0	0.0
PSE-36	13.0	11.0	4.0	3.0	0.0	0.0
PSE-37	8.0	6.0	28.0	34.0	2.0	0.0
PSE02	6.0	7.0	3.0	1.0	3.0	3.0
PSE03	4.0	6.0	0.0	0.0	4.0	2.0
PSE04	0.0	1.0	7.0	5.0	30.0	29.0
PSE05	1.0	4.0	2.0	3.0	5.0	2.0
PSE06	11.0	16.0	2.0	4.0	1.0	1.0
PSE07	5.0	6.0	4.0	4.0	7.0	8.0
PSE08	4.0	5.0	9.0	10.0	0.0	0.0
PSE1	1.0	1.0	0.0	0.0	0.0	0.0
PSE11	9.0	6.0	1.0	3.0	7.0	6.0
PSE12	2.0	2.0	0.0	0.0	0.0	0.0
PSE15	0.0	1.0	0.0	0.0	0.0	0.0
PSE16	10.0	12.0	12.0	12.0	0.0	0.0
PSE17	22.0	20.0	2.0	2.0	0.0	1.0
PSE19	10.0	6.0	1.0	1.0	0.0	0.0
PSE2	2.0	5.0	5.0	2.0	0.0	0.0
PSE20	9.0	8.0	2.0	4.0	1.0	4.0
PSE21	19.0	17.0	5.0	6.0	0.0	0.0
PSE22	9.0	5.0	3.0	14.0	2.0	1.0
PSE27	2.0	2.0	4.0	4.0	1.0	1.0
PSE28	0.0	1.0	3.0	3.0	0.0	0.0
PSE29	10.0	13.0	6.0	6.0	1.0	0.0
PSE3	1.0	1.0	0.0	0.0	1.0	1.0
PSE32	2.0	3.0	1.0	1.0	0.0	0.0
PSE33	6.0	4.0	0.0	0.0	2.0	4.0
PSE34	0.0	0.0	15.0	10.0	0.0	0.0
PSE35	1.0	1.0	0.0	0.0	0.0	1.0
PSE37	0.0	0.0	1.0	1.0	0.0	0.0
PSE38	2.0	0.0	0.0	0.0	0.0	0.0
PSE5	0.0	1.0	1.0	1.0	0.0	0.0
PSEITAAC	2.0	1.0	28.0	1.0	0.0	1.0
PSEQUAL	0.0	0.0	1.0	1.0	0.0	0.0
PSEREV	5.0	9.0	4.0	2.0	0.0	0.0
PSETBD	0.0	1.0	9.0	8.0	0.0	0.0
QA	23.0	10.0	1.0	9.0	0.0	0.0
QC	1.0	2.0	20.0	18.0	0.0	0.0
SA	3.0	6.0	3.0	2.0	1.0	0.0
TC	1.0	0.0	0.0	0.0	0.0	0.0
TEI	1.0	0.0	0.0	1.0	0.0	0.0
TG	4.0	5.0	29.0	24.0	0.0	0.0
TH	1.0	0.0	1.0	0.0	0.0	0.0
TICI	1.0	0.0	0.0	0.0	0.0	0.0
TMD	0.0	0.0	0.0	0.0	3.0	3.0
TMI	5.0	4.0	8.0	8.0	1.0	0.0
TO	3.0	1.0	6.0	7.0	1.0	0.0
